address,city,state,zip_code,county,parcel_number,property_type,bedrooms,bathrooms,sqft,year_built,list_price,assessed_value,market_value,price_to_assessed_ratio,annual_tax_amount,tax_delinquent,tax_delinquent_amount,notice_of_default,nod_date,lis_pendens,trustee_sale_scheduled,recorder_document_count,has_liens,lien_amount,in_foreclosure,is_bank_owned,is_vacant,code_violations,days_on_market,distress_score
2011 Darla ST,,NV,89002,Clark,179-27-310-054,MAN,3,2.0,1512,1996,325000.0,,,,,,,,,,,,,,,,,,193,10
1529 Eva Crossing PL,,NV,89002,Clark,179-34-317-271,TWH,3,3.0,1784,2024,379000.0,,,,,,,,,,,,,,,,,,217,10
1505 Eliana Crossing PL,,NV,89002,Clark,179-34-317-083,TWH,3,3.0,1857,2023,411240.0,,,,,,,,,,,,,,,,,,245,10
815 Crabapple DR,,NV,89002,Clark,179-30-713-011,SFR,5,3.0,2033,1990,489000.0,,,,,,,,,,,,,,,,,,184,10
670 Mount Bona WAY,,NV,89005,Clark,181-33-410-021,MAN,2,2.0,1248,1980,299000.0,,,,,,,,,,,,,,,,,,279,10
1201 I,,NV,89005,Clark,186-09-711-025,SFR,2,2.0,1050,1962,375000.0,,,,,,,,,,,,,,,,,,232,10
227 Big Horn DR,,NV,89005,Clark,186-04-514-017,TWH,2,2.0,1240,2000,379900.0,,,,,,,,,,,,,,,,,,388,10
531 New Mexico ST,,NV,89005,Clark,186-09-610-149,SFR,2,1.0,924,1942,400000.0,,,,,,,,,,,,,,,,,,214,10
668 Mount Tamalpais WAY,,NV,89005,Clark,181-33-410-049,MAN,2,2.0,1816,1980,449000.0,,,,,,,,,,,,,,,,,,207,10
591 Lake Superior LN,,NV,89005,Clark,186-05-511-021,MAN,2,2.0,2210,1983,459900.0,,,,,,,,,,,,,,,,,,341,10
834 Benita PL,,NV,89005,Clark,186-09-311-021,SFR,3,2.0,1333,1972,499900.0,,,,,,,,,,,,,,,,,,387,10
853 Holt ST,,NV,89008,Clark,003-132-22,MAN,4,2.0,2600,1976,55000.0,,,,,,,,,,,,,,,,,,471,10
